#SMILES Tg Molar_ratio Chemical_class Train_Katritzky Train_Epoxy Train_Global External_test
[CH2:1]=[CH2:1].[CH2:1]=[CH2:1] 195 0.5 2 yes no yes no
CC[CH:1]=[CH2:1].CC[CH:1]=[CH2:1] 228 0.5 2 yes no yes no
CCCC[CH:1]=[CH2:1].CCCC[CH:1]=[CH2:1] 220 0.5 2 yes no yes no
[CH2:1]=[CH:1]C1CCCC1.[CH2:1]=[CH:1]C1CCCC1 348 0.5 2 yes no yes no
[CH2:1]=[CH:1]C1CCCCC1.[CH2:1]=[CH:1]C1CCCCC1 363 0.5 2 yes no yes no
OC(=O)[CH:1]=[CH2:1].OC(=O)[CH:1]=[CH2:1] 379 0.5 5 yes no yes no
COC(=O)[CH:1]=[CH2:1].COC(=O)[CH:1]=[CH2:1] 281 0.5 5 yes no yes no
CCOC(=O)[CH:1]=[CH2:1].CCOC(=O)[CH:1]=[CH2:1] 251 0.5 5 yes no yes no
CCC(C)OC(=O)[CH:1]=[CH2:1].CCC(C)OC(=O)[CH:1]=[CH2:1] 253 0.5 5 yes no yes no
O[CH:1]=[CH2:1].O[CH:1]=[CH2:1] 358 0.5 4 yes no yes no
Cl[CH:1]=[CH2:1].Cl[CH:1]=[CH2:1] 348 0.5 6 yes no yes no
[CH2:1]=[CH:1]C#N.[CH2:1]=[CH:1]C#N 378 0.5 6 yes no yes no
CC(=O)O[CH:1]=[CH2:1].CC(=O)O[CH:1]=[CH2:1] 301 0.5 4 yes no yes no
[CH2:1]=[CH:1]c1ccccc1.[CH2:1]=[CH:1]c1ccccc1 373 0.5 3 yes no yes no
Clc1ccccc1[CH:1]=[CH2:1].Clc1ccccc1[CH:1]=[CH2:1] 392 0.5 3 yes no yes no
Clc1cccc([CH:1]=[CH2:1])c1.Clc1cccc([CH:1]=[CH2:1])c1 363 0.5 3 yes no yes no
Clc1ccc([CH:1]=[CH2:1])cc1.Clc1ccc([CH:1]=[CH2:1])cc1 389 0.5 3 yes no yes no
Cc1ccccc1[CH:1]=[CH2:1].Cc1ccccc1[CH:1]=[CH2:1] 409 0.5 3 yes no yes no
Cc1cccc([CH:1]=[CH2:1])c1.Cc1cccc([CH:1]=[CH2:1])c1 374 0.5 3 yes no yes no
Cc1ccc([CH:1]=[CH2:1])cc1.Cc1ccc([CH:1]=[CH2:1])cc1 374 0.5 3 yes no yes no
Fc1ccc([CH:1]=[CH2:1])cc1.Fc1ccc([CH:1]=[CH2:1])cc1 379 0.5 3 yes no yes no
C[CH:1]=[CH2:1].C[CH:1]=[CH2:1] 233 0.5 2 yes no yes no
CCC[CH:1]=[CH2:1].CCC[CH:1]=[CH2:1] 220 0.5 2 yes no yes no
CCO[CH:1]=[CH2:1].CCO[CH:1]=[CH2:1] 254 0.5 4 yes no yes no
