CompoundID	SMILES
100018	CCOC(=O)c1c(C)n(c2ccccc2)c3ccc(NS(=O)(=O)c4ccccc4)cc13
100544	CC(CC(Nc1ccc(Cl)cn1)n2cncn2)n3cncn3
100022	CCOC(=O)c1c(C)n(c2ccc(C)cc2)c3ccc(O)cc13
100547	CC(CC(Nc1ccccn1)n2cncn2)n3cncn3
100027	Nc1c(OS(=O)(=O)c2ccccc2)c3ccccc3oc1=O
100550	Clc1cccc(c1)N(Cc2ccc(Br)cc2)C(=O)c3cccc4ccccc34
100049	OC1=C(C=CC=C2C(=O)c3ccccc3S2(=O)=O)S(=O)(=O)c4ccccc14
100551	Clc1ccc(cc1)C(=O)OCNC(=O)c2ccccc2Cl
100055	[OH]C(=O)CCCC(=O)c1c[nH]c2ccccc12
100554	[O-][N+](=O)c1cccc(c1)C(=O)OCNC(=O)c2ccccc2Cl
100058	OC(=O)C1CC=CCC1C(=O)c2c[nH]c3ccccc23
100556	Clc1cccc(c1)N(Cc2ccc(Br)cc2)C(=O)COc3ccc(Cl)c(Cl)c3
100066	Cc1[nH]c2ccccc2c1C(=O)CCC(=O)[OH]
100557	Clc1ccc(C(=O)OCNC(=O)c2ccccc2Cl)c(Cl)c1
100075	CCc1ccc(nc1)C(=S)Nc2ccccc2
100559	Clc1ccc(OCC(=O)OCNC(=O)c2ccccc2Cl)cc1Cl
100078	Cc1ccc(NCCc2ccc(C)nc2)cc1
100561	Clc1cccc(c1)N(Cc2ccc(Cl)cc2Cl)C(=O)c3cccc4ccccc34
100082	CC(NC(=S)c1ccncc1)c2ccccc2
100563	[O-][N+](=O)c1cccc(c1)C(=O)N(Cc2ccc(Cl)cc2Cl)c3cccc(Cl)c3
101377	Cc1ccc(C2=C(C#N)C(=C(C#N)C3=CCCCC23)N)c(C)c1
102754	CC(=O)Nc1cc(NC(=O)C)c(C)cc1C
101406	CCOCc1c(C)cc(C)c(C=C(C#N)C#N)c1C
102755	CCOC(=O)C(C#N)C(=O)c1ccc(N)cc1
101407	CCOCc1c(C)cc(C)c(C=C(C#N)C(=O)OCC)c1C
102787	CC(=O)Nc1ccc(C=Cc2ccc(NC(=O)C)cc2S(=O)(=O)[OH])c(c1)S(=O)(=O)[OH]
101408	Cc1cc(C)c(C=C(C#N)C#N)c(C)c1CCl
